,budget,genres,id,imdb_id,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count
1287,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",527435.0,tt2990140,The Christmas Chronicles,17.188,"[{'id': 436, 'logo_path': '/A7WCkG3F0NFvjGCwUnclpGdIu9E.png', 'name': '1492 Pictures', 'origin_country': 'US'}, {'id': 12199, 'logo_path': '/gYYIgHpgRsyhyUkeFev1GnwBqHb.png', 'name': 'Madhouse Entertainment', 'origin_country': 'US'}, {'id': 36434, 'logo_path': '/57HyIzqTJMO2rYGjhQbrwITFWV0.png', 'name': 'Ocean Blue Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-11-22,0.0,104.0,The Christmas Chronicles,7.1,872.0
1288,0.0,"[{'id': 10751, 'name': 'Family'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",495193.0,tt1799516,Benji,7.687,"[{'id': 3172, 'logo_path': '/kDedjRZwO8uyFhuHamomOhN6fzG.png', 'name': 'Blumhouse Productions', 'origin_country': 'US'}, {'id': 103536, 'logo_path': None, 'name': 'Symbolic Exchange', 'origin_country': 'US'}]","[{'iso_3166_1': 'AE', 'name': 'United Arab Emirates'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-03-02,0.0,87.0,Benji,7.0,154.0
1289,0.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}]",550023.0,tt9033632,Christmas at the Palace,5.526,"[{'id': 64216, 'logo_path': '/Eg9VjIFt743LPYaK8Ag0fuhWGo.png', 'name': 'Brad Krevoy Television', 'origin_country': 'US'}, {'id': 4056, 'logo_path': None, 'name': 'Hallmark Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'RO', 'name': 'Romania'}]",2018-11-22,0.0,90.0,Christmas at the Palace,6.9,29.0
1290,0.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",412003.0,tt2385752,Modern Life Is Rubbish,4.94,"[{'id': 13550, 'logo_path': None, 'name': 'Serotonin Films', 'origin_country': ''}, {'id': 9987, 'logo_path': '/o5OTKAw7Acl5fTZYPyl8M8D9570.png', 'name': 'Lipsync Productions', 'origin_country': 'GB'}, {'id': 52854, 'logo_path': None, 'name': 'Masnomis', 'origin_country': ''}, {'id': 117562, 'logo_path': None, 'name': 'Modern Life Pictures', 'origin_country': ''}, {'id': 16877, 'logo_path': '/pR2SnHFl7BvRIUuauFJrxXFYjeU.png', 'name': 'BFI Film Fund', 'origin_country': 'GB'}, {'id': 7281, 'logo_path': '/lkqIuaKTm2sg3umwTBScmqyzLX5.png', 'name': 'British Film Institute', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-04-27,0.0,105.0,Modern Life Is Rubbish,7.0,22.0
1291,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",499088.0,tt6685596,Maya the Bee: The Honey Games,5.663,"[{'id': 104638, 'logo_path': None, 'name': 'Studio B Animation', 'origin_country': ''}, {'id': 68112, 'logo_path': '/tyKz3ju6yod8fza47LH22bLpGSs.png', 'name': 'Studio 100 Media', 'origin_country': 'DE'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",2018-02-02,0.0,85.0,Maya the Bee: The Honey Games,7.0,23.0
1292,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}]",550097.0,tt2043993,No Sleep 'Til Christmas,4.669,"[{'id': 98374, 'logo_path': None, 'name': 'Freeform', 'origin_country': ''}]",[],2018-12-10,0.0,120.0,No Sleep 'Til Christmas,7.0,32.0
1293,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",472734.0,tt4878482,Dumplin',9.684,"[{'id': 7382, 'logo_path': '/IAg148Ri1dXi0gTaxFjklCwGhT.png', 'name': 'Echo Films', 'origin_country': 'US'}, {'id': 77394, 'logo_path': None, 'name': 'COTA Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-12-20,0.0,110.0,Dumplin',7.0,796.0
1294,0.0,"[{'id': 35, 'name': 'Comedy'}]",407447.0,tt5371168,The Extraordinary Journey of the Fakir,7.806,"[{'id': 11107, 'logo_path': None, 'name': 'Brio Films', 'origin_country': ''}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IN', 'name': 'India'}, {'iso_3166_1': 'SG', 'name': 'Singapore'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-05-30,0.0,96.0,The Extraordinary Journey of the Fakir,7.0,146.0
1295,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",648602.0,,A Funny Thing Happened on the Way to the Theatre,1.4,"[{'id': 125376, 'logo_path': None, 'name': 'MCR Picture House', 'origin_country': ''}, {'id': 125377, 'logo_path': None, 'name': 'Ernie Trinidad', 'origin_country': ''}]",[],2018-09-12,0.0,9.0,A Funny Thing Happened on the Way to the Theatre,7.0,1.0
1296,1200.0,[],640690.0,tt11129494,Homecoming,0.6,[],[],2018-12-29,0.0,4.0,Homecoming,7.0,1.0
