,popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
0,76.719,15926,False,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,299536,False,/bOGkgRGdhrBYJSLpXaxhXVstddV.jpg,en,Avengers: Infinity War,"[28, 12, 878]",Avengers: Infinity War,8.3,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",2018-04-25
1,36.027,13710,False,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,284054,False,/6ELJEzQJ3Y45HczvreC3dg0GV5R.jpg,en,Black Panther,"[28, 12, 14, 878]",Black Panther,7.4,"King T'Challa returns home from America to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantel to join with girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",2018-02-13
2,34.309,6615,False,/c9XxwwhPHdaImA2f1WEfEsbhaFB.jpg,351286,False,/3s9O5af2xWKWR5JzP2iJZpZeQQg.jpg,en,Jurassic World: Fallen Kingdom,"[28, 12, 878]",Jurassic World: Fallen Kingdom,6.5,"Three years after the demise of Jurassic World, a volcanic eruption threatens the remaining dinosaurs on the isla Nublar, so Claire Dearing, the former park manager, recruits Owen Grady to help prevent the extinction of the dinosaurs once again.",2018-06-06
3,26.936,7275,False,/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg,260513,False,/mabuNsGJgRuCTuGqjFkWe1xdu19.jpg,en,Incredibles 2,"[28, 12, 16, 10751]",Incredibles 2,7.5,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",2018-06-14
4,28.084,7430,False,/5Kg76ldv7VxeX9YlcQXiowHgdX6.jpg,297802,False,/9QusGjxcYvfPD1THg6oW3RLeNn7.jpg,en,Aquaman,"[28, 12, 14]",Aquaman,6.8,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",2018-12-07
5,0.619,0,False,,517141,False,,en,In The Mood For Surrealism or 8021,"[28, 18, 35, 99]",In The Mood For Surrealism or 8021,0.0,An exploration of the world of the secret organizations and free masonry. A two - minute - epic revealing what the world has become with morals' absence in every aspect of life.,2018-04-24
6,40.399,9292,False,/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,424694,False,/93xA62uLd5CwMOAs37eQ7vPc1iV.jpg,en,Bohemian Rhapsody,"[18, 10402]",Bohemian Rhapsody,8.0,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",2018-10-24
7,42.301,7501,False,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,335983,False,/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg,en,Venom,"[28, 878]",Venom,6.6,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",2018-09-28
8,27.511,4353,False,/AkJQpZp9WoNdj7pLYSj1L0RcMMN.jpg,353081,False,/aw4FOsWr2FY373nKSxbpNi3fz4F.jpg,en,Mission: Impossible - Fallout,"[28, 12]",Mission: Impossible - Fallout,7.3,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",2018-07-13
9,37.664,9931,False,/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,383498,False,/3P52oz9HPQWxcwHOwxtyrVV1LKi.jpg,en,Deadpool 2,"[28, 12, 35]",Deadpool 2,7.5,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,2018-05-10
10,28.354,5756,False,/fMMrl8fD9gRCFJvsx0SuFwkEOop.jpg,338952,False,/qrtRKRzoNkf5vemO9tJ2Y4DrHxQ.jpg,en,Fantastic Beasts: The Crimes of Grindelwald,"[12, 14, 10751]",Fantastic Beasts: The Crimes of Grindelwald,6.9,"Gellert Grindelwald has escaped imprisonment and has begun gathering followers to his cause—elevating wizards above all non-magical beings. The only one capable of putting a stop to him is the wizard he once called his closest friend, Albus Dumbledore. However, Dumbledore will need to seek help from the wizard who had thwarted Grindelwald once before, his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.",2018-11-14
11,28.433,7321,False,/eivQmS3wqzqnQWILHLc4FsEfcXP.jpg,363088,False,/6P3c80EOm7BodndGBUAJHHsHKrp.jpg,en,Ant-Man and the Wasp,"[28, 12, 35, 878]",Ant-Man and the Wasp,7.0,"Just when his time under house arrest is about to end, Scott Lang once again puts his freedom at risk to help Hope van Dyne and Dr. Hank Pym dive into the quantum realm and try to accomplish, against time and any chance of success, a very dangerous rescue mission.",2018-07-04
12,21.304,7996,False,/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg,333339,False,/q7fXcrDPJcf6t3rzutaNwTzuKP1.jpg,en,Ready Player One,"[12, 878]",Ready Player One,7.6,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",2018-03-28
13,30.867,3458,False,/qEnH5meR381iMpmCumAIMswcQw2.jpg,404368,False,/88poTBTafMXaz73vYi3c74g0y2k.jpg,en,Ralph Breaks the Internet,"[12, 16, 35, 10751]",Ralph Breaks the Internet,7.2,"Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game, ""Sugar Rush."" In way over their heads, Ralph and Vanellope rely on the citizens of the internet -- the netizens -- to help navigate their way, including an entrepreneur named Yesss, who is the head algorithm and the heart and soul of trend-making site BuzzzTube.",2018-11-20
14,26.513,1292,False,/smxA8yvZ0LzDPer9BIRd4pyOpx1.jpg,360920,False,/juc9wt7Eh2IarLL5S1yQ1a21O1A.jpg,en,The Grinch,"[16, 35, 14, 10751]",The Grinch,6.4,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,2018-11-08
15,32.597,3079,False,/fw02ONlDhrYjTSZV8XO6hhU3ds3.jpg,424783,False,/17nDJQsGVim6oows2TlN98UacbO.jpg,en,Bumblebee,"[28, 12, 878]",Bumblebee,6.5,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie, on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken.  When Charlie revives him, she quickly learns this is no ordinary yellow VW bug.",2018-12-15
16,35.839,6874,False,/wrFpXMNBRj2PBiN4Z5kix51XaIZ.jpg,332562,False,/mnDvPokXpvsdPcWSjNRPhiiLOKu.jpg,en,A Star Is Born,"[18, 10402, 10749]",A Star Is Born,7.5,"Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.",2018-10-03
17,19.431,3551,False,/3gIO6mCd4Q4PF1tuwcyI3sjFrtI.jpg,427641,False,/wrqUiMXttHE4UBFMhLHlN601MZh.jpg,en,Rampage,"[28, 12, 14, 878]",Rampage,6.2,"Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend.",2018-04-12
18,31.174,4440,False,/3IGbjc5ZC5yxim5W0sFING2kdcz.jpg,348350,False,/q1zsnEwcApz9AdMgV4nB0jrg1qg.jpg,en,Solo: A Star Wars Story,"[28, 12, 878]",Solo: A Star Wars Story,6.6,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",2018-05-15
19,46.87,5736,False,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,324857,False,/uUiId6cG32JSRI6RyBQSvQtLjz2.jpg,en,Spider-Man: Into the Spider-Verse,"[28, 12, 16, 878, 35]",Spider-Man: Into the Spider-Verse,8.4,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",2018-12-06
20,76.719,15926,False,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,299536,False,/bOGkgRGdhrBYJSLpXaxhXVstddV.jpg,en,Avengers: Infinity War,"[28, 12, 878]",Avengers: Infinity War,8.3,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",2018-04-25
21,36.027,13710,False,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,284054,False,/6ELJEzQJ3Y45HczvreC3dg0GV5R.jpg,en,Black Panther,"[28, 12, 14, 878]",Black Panther,7.4,"King T'Challa returns home from America to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantel to join with girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",2018-02-13
22,34.309,6615,False,/c9XxwwhPHdaImA2f1WEfEsbhaFB.jpg,351286,False,/3s9O5af2xWKWR5JzP2iJZpZeQQg.jpg,en,Jurassic World: Fallen Kingdom,"[28, 12, 878]",Jurassic World: Fallen Kingdom,6.5,"Three years after the demise of Jurassic World, a volcanic eruption threatens the remaining dinosaurs on the isla Nublar, so Claire Dearing, the former park manager, recruits Owen Grady to help prevent the extinction of the dinosaurs once again.",2018-06-06
23,26.936,7275,False,/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg,260513,False,/mabuNsGJgRuCTuGqjFkWe1xdu19.jpg,en,Incredibles 2,"[28, 12, 16, 10751]",Incredibles 2,7.5,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",2018-06-14
24,28.084,7430,False,/5Kg76ldv7VxeX9YlcQXiowHgdX6.jpg,297802,False,/9QusGjxcYvfPD1THg6oW3RLeNn7.jpg,en,Aquaman,"[28, 12, 14]",Aquaman,6.8,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",2018-12-07
25,0.619,0,False,,517141,False,,en,In The Mood For Surrealism or 8021,"[28, 18, 35, 99]",In The Mood For Surrealism or 8021,0.0,An exploration of the world of the secret organizations and free masonry. A two - minute - epic revealing what the world has become with morals' absence in every aspect of life.,2018-04-24
26,40.399,9292,False,/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,424694,False,/93xA62uLd5CwMOAs37eQ7vPc1iV.jpg,en,Bohemian Rhapsody,"[18, 10402]",Bohemian Rhapsody,8.0,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",2018-10-24
27,42.301,7501,False,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,335983,False,/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg,en,Venom,"[28, 878]",Venom,6.6,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",2018-09-28
28,27.511,4353,False,/AkJQpZp9WoNdj7pLYSj1L0RcMMN.jpg,353081,False,/aw4FOsWr2FY373nKSxbpNi3fz4F.jpg,en,Mission: Impossible - Fallout,"[28, 12]",Mission: Impossible - Fallout,7.3,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",2018-07-13
29,37.664,9931,False,/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,383498,False,/3P52oz9HPQWxcwHOwxtyrVV1LKi.jpg,en,Deadpool 2,"[28, 12, 35]",Deadpool 2,7.5,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,2018-05-10
30,28.354,5756,False,/fMMrl8fD9gRCFJvsx0SuFwkEOop.jpg,338952,False,/qrtRKRzoNkf5vemO9tJ2Y4DrHxQ.jpg,en,Fantastic Beasts: The Crimes of Grindelwald,"[12, 14, 10751]",Fantastic Beasts: The Crimes of Grindelwald,6.9,"Gellert Grindelwald has escaped imprisonment and has begun gathering followers to his cause—elevating wizards above all non-magical beings. The only one capable of putting a stop to him is the wizard he once called his closest friend, Albus Dumbledore. However, Dumbledore will need to seek help from the wizard who had thwarted Grindelwald once before, his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.",2018-11-14
31,28.433,7321,False,/eivQmS3wqzqnQWILHLc4FsEfcXP.jpg,363088,False,/6P3c80EOm7BodndGBUAJHHsHKrp.jpg,en,Ant-Man and the Wasp,"[28, 12, 35, 878]",Ant-Man and the Wasp,7.0,"Just when his time under house arrest is about to end, Scott Lang once again puts his freedom at risk to help Hope van Dyne and Dr. Hank Pym dive into the quantum realm and try to accomplish, against time and any chance of success, a very dangerous rescue mission.",2018-07-04
32,21.304,7996,False,/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg,333339,False,/q7fXcrDPJcf6t3rzutaNwTzuKP1.jpg,en,Ready Player One,"[12, 878]",Ready Player One,7.6,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",2018-03-28
33,30.867,3458,False,/qEnH5meR381iMpmCumAIMswcQw2.jpg,404368,False,/88poTBTafMXaz73vYi3c74g0y2k.jpg,en,Ralph Breaks the Internet,"[12, 16, 35, 10751]",Ralph Breaks the Internet,7.2,"Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game, ""Sugar Rush."" In way over their heads, Ralph and Vanellope rely on the citizens of the internet -- the netizens -- to help navigate their way, including an entrepreneur named Yesss, who is the head algorithm and the heart and soul of trend-making site BuzzzTube.",2018-11-20
34,26.513,1292,False,/smxA8yvZ0LzDPer9BIRd4pyOpx1.jpg,360920,False,/juc9wt7Eh2IarLL5S1yQ1a21O1A.jpg,en,The Grinch,"[16, 35, 14, 10751]",The Grinch,6.4,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,2018-11-08
35,32.597,3079,False,/fw02ONlDhrYjTSZV8XO6hhU3ds3.jpg,424783,False,/17nDJQsGVim6oows2TlN98UacbO.jpg,en,Bumblebee,"[28, 12, 878]",Bumblebee,6.5,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie, on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken.  When Charlie revives him, she quickly learns this is no ordinary yellow VW bug.",2018-12-15
36,35.839,6874,False,/wrFpXMNBRj2PBiN4Z5kix51XaIZ.jpg,332562,False,/mnDvPokXpvsdPcWSjNRPhiiLOKu.jpg,en,A Star Is Born,"[18, 10402, 10749]",A Star Is Born,7.5,"Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.",2018-10-03
37,19.431,3551,False,/3gIO6mCd4Q4PF1tuwcyI3sjFrtI.jpg,427641,False,/wrqUiMXttHE4UBFMhLHlN601MZh.jpg,en,Rampage,"[28, 12, 14, 878]",Rampage,6.2,"Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend.",2018-04-12
38,31.174,4440,False,/3IGbjc5ZC5yxim5W0sFING2kdcz.jpg,348350,False,/q1zsnEwcApz9AdMgV4nB0jrg1qg.jpg,en,Solo: A Star Wars Story,"[28, 12, 878]",Solo: A Star Wars Story,6.6,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",2018-05-15
39,46.87,5736,False,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,324857,False,/uUiId6cG32JSRI6RyBQSvQtLjz2.jpg,en,Spider-Man: Into the Spider-Verse,"[28, 12, 16, 878, 35]",Spider-Man: Into the Spider-Verse,8.4,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",2018-12-06
40,22.632,3811,False,/9ZedQHPQVveaIYmDSTazhT3y273.jpg,337167,False,/9ywA15OAiwjSTvg3cBs9B7kOCBF.jpg,en,Fifty Shades Freed,"[18, 10749]",Fifty Shades Freed,6.2,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",2018-01-17
41,25.534,3248,False,/sFC1ElvoKGdHJIWRpNB3xWJ9lJA.jpg,439079,False,/fgsHxz21B27hOOqQBiw9L6yWcM7.jpg,en,The Nun,"[27, 9648, 53]",The Nun,5.6,"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the order’s unholy secret. Risking not only their lives but their faith and their very souls, they confront a malevolent force in the form of the same demonic nun that first terrorized audiences in “The Conjuring 2” as the abbey becomes a horrific battleground between the living and the damned.",2018-09-05
42,11.017,737,False,/2yjSvEDuM3rLDng40erLsWkQRfn.jpg,381719,False,/vBIvSqbSNbABqAqP92utXzSXUhE.jpg,en,Peter Rabbit,"[12, 16, 10751]",Peter Rabbit,6.5,Peter Rabbit's feud with Mr. McGregor escalates to greater heights than ever before as they rival for the affections of the warm-hearted animal lover who lives next door.,2018-02-07
43,22.659,1849,False,/uTVGku4LibMGyKgQvjBtv3OYfAX.jpg,400650,False,/cwiJQXezWz876K3jS57Sq56RYCZ.jpg,en,Mary Poppins Returns,"[35, 14, 10751]",Mary Poppins Returns,6.6,"In Depression-era London, a now-grown Jane and Michael Banks, along with Michael's three children, are visited by the enigmatic Mary Poppins following a personal loss. Through her unique magical skills, and with the aid of her friend Jack, she helps the family rediscover the joy and wonder missing in their lives.",2018-12-13
44,21.155,6689,False,/nAU74GmpUk7t5iklEp3bufwDq4n.jpg,447332,False,/roYyPiQDQKmIKUEhO912693tSja.jpg,en,A Quiet Place,"[18, 27, 878]",A Quiet Place,7.3,A family is forced to live in silence while hiding from creatures that hunt by sound.,2018-04-03
45,23.901,4780,False,/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,490132,False,/78PjwaykLY2QqhMfWRDvmfbC6EV.jpg,en,Green Book,"[35, 18]",Green Book,8.3,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",2018-11-16
46,21.822,3390,False,/xqECHNvzbDL5I3iiOVUkVPJMSbc.jpg,345940,False,/rH79sB6Nkx4cMW3JzsUy7wK0rhX.jpg,en,The Meg,"[28, 27, 878]",The Meg,5.9,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",2018-08-09
47,17.284,4315,False,/MvYpKlpFukTivnlBhizGbkAe3v.jpg,402900,False,/4PZuqUVwvxPCEMV8LYSAJLuxvcq.jpg,en,Ocean's Eight,"[28, 35, 80, 53]",Ocean's Eight,6.9,"Debbie Ocean, a criminal mastermind, gathers a crew of female thieves to pull off the heist of the century at New York's annual Met Gala.",2018-06-07
48,18.031,2518,False,/5LYSsOPzuP13201qSzMjNxi8FxN.jpg,447200,False,/oMKFQmoVgB69fyXfSMu0lGlHJP2.jpg,en,Skyscraper,[28],Skyscraper,6.1,"Framed and on the run, a former FBI agent must save his family from a blazing fire in the world's tallest building.",2018-07-11
49,18.536,2522,False,/v5HlmJK9bdeHxN2QhaFP1ivjX3U.jpg,268896,False,/6pT73ACl5N1VekdK3wQI8PLfz1E.jpg,en,Pacific Rim: Uprising,"[28, 14, 878, 12]",Pacific Rim: Uprising,5.9,"It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns.",2018-03-21
50,15.714,4300,False,/2zYfzA3TBwrMC8tfFbpiTLODde0.jpg,336843,False,/bvbyidkMaBls1LTaIWYY6UmYTaL.jpg,en,Maze Runner: The Death Cure,"[28, 878]",Maze Runner: The Death Cure,7.0,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.",2018-01-10
51,19.797,4793,False,/3zrC5tUiR35rTz9stuIxnU1nUS5.jpg,338970,False,/bLJTjfbZ1c5zSNiAvGYs1Uc82ir.jpg,en,Tomb Raider,"[28, 12, 14]",Tomb Raider,6.3,"Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she finds herself on the island where her father disappeared.",2018-03-05
52,18.803,2404,False,/bXs0zkv2iGVViZEy78teg2ycDBm.jpg,424139,False,/9n6GV6tlvBdynVH6Qwcpg3sklSs.jpg,en,Halloween,"[27, 53]",Halloween,6.4,"Laurie Strode comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",2018-10-18
53,15.97,1809,False,/1XxL4LJ5WHdrcYcihEZUCgNCpAW.jpg,455207,False,/zeHB7aP46Xs3u4aFLuAq2GFeUGb.jpg,en,Crazy Rich Asians,"[35, 18, 10749]",Crazy Rich Asians,7.1,"An American-born Chinese economics professor accompanies her boyfriend to Singapore for his best friend's wedding, only to get thrust into the lives of Asia's rich and famous.",2018-08-15
54,27.88,2244,False,/oeZh7yEz3PMnZLgBPhrafFHRbVz.jpg,504172,False,/h51DdjaDD2aPu1fLHsmpJaaJinS.jpg,en,The Mule,"[80, 18, 53]",The Mule,6.6,"Earl Stone, a man in his eighties, is broke, alone, and facing foreclosure of his business when he is offered a job that simply requires him to drive. Easy enough, but, unbeknownst to Earl, he's just signed on as a drug courier for a Mexican cartel. He does so well that his cargo increases exponentially, and Earl hit the radar of hard-charging DEA agent Colin Bates.",2018-12-14
55,16.327,1942,False,/vzI4gNJDUwWgmNDSBWxYoeGkIEY.jpg,458423,False,/8HKwxHZ23sW8wz4yb28IWnAM1M6.jpg,en,Mamma Mia! Here We Go Again,"[35, 10749]",Mamma Mia! Here We Go Again,7.2,"Five years after meeting her three fathers, Sophie Sheridan prepares to open her mother’s hotel. In 1979, young Donna Sheridan meets the men who each could be Sophie’s biological father.",2018-07-09
56,19.187,1464,False,/nb9fc9INMg8kQ8L7sE7XTNsZnUX.jpg,406563,False,/PwI3EfasE9fVuXsmMu9ffJh0Re.jpg,en,Insidious: The Last Key,"[27, 9648, 53]",Insidious: The Last Key,6.1,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home.",2018-01-03
57,24.139,2373,False,/wMq9kQXTeQCHUZOG4fAe5cAxyUA.jpg,346910,False,/f4E0ocYeToEuXvczZv6QArrMDJ.jpg,en,The Predator,"[28, 12, 27, 878, 53]",The Predator,5.3,"When a kid accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled female scientist can prevent the end of the human race.",2018-09-05
58,16.887,1243,False,/ryACHOzmRJiJEKjatbokudfkO74.jpg,463272,False,/b7Q0uX4Tcd6lXWItJEMxYk9XBbc.jpg,en,Johnny English Strikes Again,[35],Johnny English Strikes Again,6.2,"Disaster strikes when a criminal mastermind reveals the identities of all active undercover agents in Britain. The secret service can now rely on only one man - Johnny English. Currently teaching at a minor prep school, Johnny springs back into action to find the mysterious hacker. For this mission to succeed, he’ll need all of his skills - what few he has - as the man with yesterday’s analogue methods faces off against tomorrow’s digital technology.",2018-09-13
59,16.92,3755,False,/vLCogyfQGxVLDC1gqUdNAIkc29L.jpg,401981,False,/sGzuQYSTwJvLBc2PnuSVLHhuFeh.jpg,en,Red Sparrow,"[9648, 53]",Red Sparrow,6.5,"Prima ballerina, Dominika Egorova faces a bleak and uncertain future after she suffers an injury that ends her career. She soon turns to Sparrow School, a secret intelligence service that trains exceptional young people to use their minds and bodies as weapons. Dominika emerges as the most dangerous Sparrow after completing the sadistic training process. As she comes to terms with her new abilities, she meets a CIA agent who tries to convince her that he is the only person she can trust.",2018-02-28
60,24.534,2609,False,/v3QyboWRoA4O9RbcsqH8tJMe8EB.jpg,480530,False,/hZqx2JcZVjHSY2lMEMDC0XlObiw.jpg,en,Creed II,[18],Creed II,6.8,"Between personal obligations and training for his next big fight against an opponent with ties to his family's past, Adonis Creed is up against the challenge of his life.",2018-11-21
61,21.523,2118,False,/litjsBoiydO6JlO70uOX4N3WnNL.jpg,442249,False,/r4clWIxKeWoqrHspQP0XunuUmB7.jpg,en,The First Purge,"[28, 27, 878, 53]",The First Purge,5.8,"To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America test a sociological theory that vents aggression for one night in one isolated community. But when the violence of oppressors meets the rage of the others, the contagion will explode from the trial-city borders and spread across the nation.",2018-07-04
